id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W908,1,Doctor,1,H944,28,1,H944,28,1,Unmatched,0,0,Unmatched,0,0,H944,28,1,H944,28,1,0,0,822,822,0,0
W388,1,Doctor,2,H860,88,-1,H860,88,-1,H259,5,-1,H259,5,-1,Unmatched,0,0,Unmatched,0,0,143,143,0,0,0,0
W13,1,Doctor,3,H256,50,2,H256,50,2,Unmatched,0,0,Unmatched,0,0,H256,50,2,H256,50,2,1,1,814,814,0,0
W765,1,Doctor,4,H472,72,3,H472,72,3,Unmatched,0,0,Unmatched,0,0,H472,72,3,H472,72,3,0,0,818,818,0,0
W757,1,Doctor,5,H921,115,-1,H921,115,-1,H877,3,-1,H877,3,-1,Unmatched,0,0,Unmatched,0,0,127,127,0,0,0,0
W378,1,Doctor,6,H566,90,2,H566,90,2,Unmatched,0,0,Unmatched,0,0,H566,90,2,H566,90,2,0,0,810,810,0,0
W389,1,Doctor,7,H939,102,-1,H939,102,-1,H441,3,-1,H441,3,-1,Unmatched,0,0,Unmatched,0,0,144,144,0,0,0,0
W496,1,Doctor,8,H534,49,3,H534,49,3,Unmatched,0,0,Unmatched,0,0,H534,49,3,H534,49,3,0,0,809,809,0,0
W627,1,Doctor,9,H113,85,3,H113,85,3,H826,5,-1,H826,5,-1,H113,85,3,H113,85,3,3,3,0,0,0,0
W694,1,Doctor,10,H739,18,2,H739,18,2,Unmatched,0,0,Unmatched,0,0,H739,18,2,H739,18,2,0,0,798,798,0,0
W90,1,Doctor,11,H364,10,2,H364,10,2,Unmatched,0,0,Unmatched,0,0,H364,10,2,H364,10,2,0,0,801,801,0,0
W687,1,Doctor,12,H507,42,1,H507,42,1,H864,2,-1,H864,2,-1,H507,42,1,H507,42,1,1,1,0,0,0,0
W98,1,Doctor,13,H481,31,1,H481,31,1,H454,5,-1,H454,5,-1,H481,31,1,H481,31,1,0,0,0,0,0,0
W643,1,Doctor,14,H644,117,5,H644,117,5,Unmatched,0,0,Unmatched,0,0,H644,117,5,H644,117,5,2,2,798,798,0,0
W450,1,Doctor,15,H37,52,1,H37,52,1,Unmatched,0,0,Unmatched,0,0,H37,52,1,H37,52,1,1,1,793,793,0,0
W312,1,Doctor,16,H666,7,1,H666,7,1,H485,5,-1,H485,5,-1,H666,7,1,H666,7,1,0,0,0,0,0,0
W621,1,Doctor,17,H903,2,1,H903,2,1,H903,2,1,H903,2,1,H903,2,1,H903,2,1,0,0,0,0,0,0
W759,1,Doctor,18,H44,12,1,H44,12,1,H6,4,-1,H6,4,-1,H44,12,1,H44,12,1,0,0,0,0,0,0
W113,1,Doctor,19,H686,26,2,H686,26,2,Unmatched,0,0,Unmatched,0,0,H686,26,2,H686,26,2,0,0,795,795,0,0
W579,1,Doctor,20,H745,24,2,H745,24,2,Unmatched,0,0,Unmatched,0,0,H745,24,2,H745,24,2,0,0,789,789,0,0
W653,1,Doctor,21,H222,23,1,H222,23,1,H117,4,-1,H117,4,-1,H222,23,1,H222,23,1,0,0,0,0,0,0
W696,1,Doctor,22,H782,95,2,H782,95,2,Unmatched,0,0,Unmatched,0,0,H782,95,2,H782,95,2,2,2,786,786,0,0
W213,1,Doctor,23,H98,2,2,H98,2,2,H424,1,1,H424,1,1,H98,2,2,H98,2,2,0,0,0,0,0,0
W416,1,Doctor,24,H47,119,4,H47,119,4,H439,2,-1,H439,2,-1,H47,119,4,H47,119,4,0,0,0,0,0,0
W198,1,Doctor,25,H41,151,4,H41,151,4,H954,3,-1,H954,3,-1,H41,151,4,H41,151,4,4,4,0,0,0,0
W821,1,Doctor,26,H245,74,4,H245,74,4,Unmatched,0,0,Unmatched,0,0,H245,74,4,H245,74,4,1,1,780,780,0,0
W82,1,Doctor,27,H894,38,2,H894,38,2,Unmatched,0,0,Unmatched,0,0,H894,38,2,H894,38,2,0,0,785,785,0,0
W729,1,Doctor,28,H734,187,-1,H734,187,-1,H664,1,-1,H664,1,-1,Unmatched,0,0,Unmatched,0,0,114,114,0,0,0,0
W199,1,Doctor,29,H299,18,1,H299,18,1,H477,4,-1,H477,4,-1,H299,18,1,H299,18,1,1,1,0,0,0,0
W339,1,Doctor,30,H436,92,4,H436,92,4,H405,1,-1,H405,1,-1,H436,92,4,H436,92,4,0,0,0,0,0,0
W117,1,Doctor,31,H945,214,3,H945,214,3,H881,4,-1,H881,4,-1,H945,214,3,H945,214,3,5,5,0,0,0,0
W397,1,Doctor,32,H685,65,2,H685,65,2,H841,5,-1,H841,5,-1,H685,65,2,H685,65,2,2,2,0,0,0,0
W581,1,Doctor,33,H397,31,1,H397,31,1,Unmatched,0,0,Unmatched,0,0,H397,31,1,H397,31,1,1,1,768,768,0,0
