id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W681,1,Doctor,1,H349,1,1,H349,1,1,H349,1,1,H349,1,1,H349,1,1,H349,1,1,0,0,0,0,0,0
W1563,1,Doctor,2,H1571,1,1,H1571,1,1,H1571,1,1,H1571,1,1,H1571,1,1,H1571,1,1,0,0,0,0,0,0
W951,1,Doctor,3,H1180,1,1,H1180,1,1,H1180,1,1,H1180,1,1,H1180,1,1,H1180,1,1,0,0,0,0,0,0
W369,1,Doctor,4,H889,1,1,H889,1,1,H889,1,1,H889,1,1,H889,1,1,H889,1,1,0,0,0,0,0,0
W474,1,Doctor,5,H150,1,1,H150,1,1,H150,1,1,H150,1,1,H150,1,1,H150,1,1,0,0,0,0,0,0
W293,1,Doctor,6,H263,1,1,H263,1,1,H263,1,1,H263,1,1,H263,1,1,H263,1,1,0,0,0,0,0,0
W616,1,Doctor,7,H210,1,1,H210,1,1,H210,1,1,H210,1,1,H210,1,1,H210,1,1,0,0,0,0,0,0
W542,1,Doctor,8,H27,1,1,H27,1,1,H27,1,1,H27,1,1,H27,1,1,H27,1,1,0,0,0,0,0,0
W1344,1,Doctor,9,H1657,1,1,H1657,1,1,H1657,1,1,H1657,1,1,H1657,1,1,H1657,1,1,0,0,0,0,0,0
W232,1,Doctor,10,H533,1,1,H533,1,1,H533,1,1,H533,1,1,H533,1,1,H533,1,1,0,0,0,0,0,0
W501,1,Doctor,11,H394,1,1,H394,1,1,H394,1,1,H394,1,1,H394,1,1,H394,1,1,0,0,0,0,0,0
W205,1,Doctor,12,H687,1,1,H687,1,1,H687,1,1,H687,1,1,H687,1,1,H687,1,1,0,0,0,0,0,0
W447,1,Doctor,13,H1038,1,1,H1038,1,1,H1038,1,1,H1038,1,1,H1038,1,1,H1038,1,1,0,0,0,0,0,0
W263,1,Doctor,14,H265,1,1,H265,1,1,H265,1,1,H265,1,1,H265,1,1,H265,1,1,0,0,0,0,0,0
W324,1,Doctor,15,H600,1,1,H600,1,1,H600,1,1,H600,1,1,H600,1,1,H600,1,1,0,0,0,0,0,0
W338,1,Doctor,16,H544,1,1,H544,1,1,H544,1,1,H544,1,1,H544,1,1,H544,1,1,0,0,0,0,0,0
W1098,1,Doctor,17,H109,1,1,H109,1,1,H109,1,1,H109,1,1,H109,1,1,H109,1,1,0,0,0,0,0,0
W416,1,Doctor,18,H272,1,1,H272,1,1,H272,1,1,H272,1,1,H272,1,1,H272,1,1,0,0,0,0,0,0
W986,1,Doctor,19,H1605,1,1,H1605,1,1,H1605,1,1,H1605,1,1,H1605,1,1,H1605,1,1,0,0,0,0,0,0
W704,1,Doctor,20,H1239,1,1,H1239,1,1,H1239,1,1,H1239,1,1,H1239,1,1,H1239,1,1,0,0,0,0,0,0
W1047,1,Doctor,21,H621,1,1,H621,1,1,H621,1,1,H621,1,1,H621,1,1,H621,1,1,0,0,0,0,0,0
W182,1,Doctor,22,H1455,1,1,H1455,1,1,H1455,1,1,H1455,1,1,H1455,1,1,H1455,1,1,0,0,0,0,0,0
W1542,1,Doctor,23,H1394,1,1,H1394,1,1,H1394,1,1,H1394,1,1,H1394,1,1,H1394,1,1,0,0,0,0,0,0
W872,1,Doctor,24,H350,1,1,H350,1,1,H350,1,1,H350,1,1,H350,1,1,H350,1,1,0,0,0,0,0,0
W1571,1,Doctor,25,H329,1,1,H329,1,1,H329,1,1,H329,1,1,H329,1,1,H329,1,1,0,0,0,0,0,0
W1595,1,Doctor,26,H903,1,1,H903,1,1,H903,1,1,H903,1,1,H903,1,1,H903,1,1,0,0,0,0,0,0
W149,1,Doctor,27,H563,1,1,H563,1,1,H563,1,1,H563,1,1,H563,1,1,H563,1,1,0,0,0,0,0,0
W312,1,Doctor,28,H919,1,1,H919,1,1,H919,1,1,H919,1,1,H919,1,1,H919,1,1,0,0,0,0,0,0
W143,1,Doctor,29,H1101,1,1,H1101,1,1,H1101,1,1,H1101,1,1,H1101,1,1,H1101,1,1,0,0,0,0,0,0
W1216,1,Doctor,30,H234,1,1,H234,1,1,H234,1,1,H234,1,1,H234,1,1,H234,1,1,0,0,0,0,0,0
W1008,1,Doctor,31,H1182,1,1,H1182,1,1,H1182,1,1,H1182,1,1,H1182,1,1,H1182,1,1,0,0,0,0,0,0
W331,1,Doctor,32,H80,1,1,H80,1,1,H80,1,1,H80,1,1,H80,1,1,H80,1,1,0,0,0,0,0,0
W1338,1,Doctor,33,H1156,1,1,H1156,1,1,H1156,1,1,H1156,1,1,H1156,1,1,H1156,1,1,0,0,0,0,0,0
W1409,1,Doctor,34,H1551,2,2,H1551,2,2,H1551,2,2,H1551,2,2,H1551,2,2,H1551,2,2,0,0,0,0,0,0
W1504,1,Doctor,35,H930,2,2,H930,2,2,H930,2,2,H930,2,2,H930,2,2,H930,2,2,0,0,0,0,0,0
W1312,1,Doctor,36,H1282,1,1,H1282,1,1,H1282,1,1,H1282,1,1,H1282,1,1,H1282,1,1,0,0,0,0,0,0
W394,1,Doctor,37,H1540,1,1,H1540,1,1,H1540,1,1,H1540,1,1,H1540,1,1,H1540,1,1,0,0,0,0,0,0
W837,1,Doctor,38,H1661,1,1,H1661,1,1,H1661,1,1,H1661,1,1,H1661,1,1,H1661,1,1,0,0,0,0,0,0
W1649,1,Doctor,39,H917,1,1,H917,1,1,H917,1,1,H917,1,1,H917,1,1,H917,1,1,0,0,0,0,0,0
W399,1,Doctor,40,H1298,1,1,H1298,1,1,H1298,1,1,H1298,1,1,H1298,1,1,H1298,1,1,0,0,0,0,0,0
W620,1,Doctor,41,H925,1,1,H925,1,1,H925,1,1,H925,1,1,H925,1,1,H925,1,1,0,0,0,0,0,0
W363,1,Doctor,42,H171,1,1,H171,1,1,H171,1,1,H171,1,1,H171,1,1,H171,1,1,0,0,0,0,0,0
W63,1,Doctor,43,H488,1,1,H488,1,1,H488,1,1,H488,1,1,H488,1,1,H488,1,1,0,0,0,0,0,0
W442,1,Doctor,44,H1413,1,1,H1413,1,1,H1413,1,1,H1413,1,1,H1413,1,1,H1413,1,1,0,0,0,0,0,0
W584,1,Doctor,45,H436,1,1,H436,1,1,H436,1,1,H436,1,1,H436,1,1,H436,1,1,0,0,0,0,0,0
W1063,1,Doctor,46,H1353,1,1,H1353,1,1,H1353,1,1,H1353,1,1,H1353,1,1,H1353,1,1,0,0,0,0,0,0
W695,1,Doctor,47,H1137,2,2,H1137,2,2,H1137,2,2,H1137,2,2,H1137,2,2,H1137,2,2,0,0,0,0,0,0
W1274,1,Doctor,48,H297,1,1,H297,1,1,H297,1,1,H297,1,1,H297,1,1,H297,1,1,0,0,0,0,0,0
W17,1,Doctor,49,H124,1,1,H124,1,1,H124,1,1,H124,1,1,H124,1,1,H124,1,1,0,0,0,0,0,0
W426,1,Doctor,50,H1029,2,2,H1029,2,2,H1029,2,2,H1029,2,2,H1029,2,2,H1029,2,2,0,0,0,0,0,0
W594,1,Doctor,51,H766,1,1,H766,1,1,H766,1,1,H766,1,1,H766,1,1,H766,1,1,0,0,0,0,0,0
W1310,1,Doctor,52,H1360,1,1,H1360,1,1,H1360,1,1,H1360,1,1,H1360,1,1,H1360,1,1,0,0,0,0,0,0
W1318,1,Doctor,53,H1409,1,1,H1409,1,1,H1409,1,1,H1409,1,1,H1409,1,1,H1409,1,1,0,0,0,0,0,0
W1531,1,Doctor,54,H198,1,1,H198,1,1,H198,1,1,H198,1,1,H198,1,1,H198,1,1,0,0,0,0,0,0
W1346,1,Doctor,55,H41,1,1,H41,1,1,H41,1,1,H41,1,1,H41,1,1,H41,1,1,0,0,0,0,0,0
W537,1,Doctor,56,H762,2,2,H762,2,2,H762,2,2,H762,2,2,H762,2,2,H762,2,2,0,0,0,0,0,0
W1610,1,Doctor,57,H810,3,3,H810,3,3,H810,3,3,H810,3,3,H810,3,3,H810,3,3,0,0,0,0,0,0
W212,1,Doctor,58,H1195,1,1,H1195,1,1,H1195,1,1,H1195,1,1,H1195,1,1,H1195,1,1,0,0,0,0,0,0
W879,1,Doctor,59,H1122,1,1,H1122,1,1,H1122,1,1,H1122,1,1,H1122,1,1,H1122,1,1,0,0,0,0,0,0
W675,1,Doctor,60,H1643,1,1,H1643,1,1,H1643,1,1,H1643,1,1,H1643,1,1,H1643,1,1,0,0,0,0,0,0
W31,1,Doctor,61,H770,1,1,H770,1,1,H770,1,1,H770,1,1,H770,1,1,H770,1,1,0,0,0,0,0,0
W1175,1,Doctor,62,H1294,1,1,H1294,1,1,H1294,1,1,H1294,1,1,H1294,1,1,H1294,1,1,0,0,0,0,0,0
W689,1,Doctor,63,H1117,1,1,H1117,1,1,H1117,1,1,H1117,1,1,H1117,1,1,H1117,1,1,0,0,0,0,0,0
W408,1,Doctor,64,H1054,1,1,H1054,1,1,H1054,1,1,H1054,1,1,H1054,1,1,H1054,1,1,0,0,0,0,0,0
W250,1,Doctor,65,H1442,1,1,H1442,1,1,H1442,1,1,H1442,1,1,H1442,1,1,H1442,1,1,0,0,0,0,0,0
W1614,1,Doctor,66,H50,1,1,H50,1,1,H50,1,1,H50,1,1,H50,1,1,H50,1,1,0,0,0,0,0,0
W1584,1,Doctor,67,H242,1,1,H242,1,1,H242,1,1,H242,1,1,H242,1,1,H242,1,1,0,0,0,0,0,0
W1482,1,Doctor,68,H1220,1,1,H1220,1,1,H1220,1,1,H1220,1,1,H1220,1,1,H1220,1,1,0,0,0,0,0,0
W723,1,Doctor,69,H131,1,1,H131,1,1,H131,1,1,H131,1,1,H131,1,1,H131,1,1,0,0,0,0,0,0
W636,1,Doctor,70,H396,1,1,H396,1,1,H396,1,1,H396,1,1,H396,1,1,H396,1,1,0,0,0,0,0,0
W671,1,Doctor,71,H546,1,1,H546,1,1,H546,1,1,H546,1,1,H546,1,1,H546,1,1,0,0,0,0,0,0
W1308,1,Doctor,72,H1243,1,1,H1243,1,1,H1243,1,1,H1243,1,1,H1243,1,1,H1243,1,1,0,0,0,0,0,0
W1207,1,Doctor,73,H854,1,1,H854,1,1,H854,1,1,H854,1,1,H854,1,1,H854,1,1,0,0,0,0,0,0
W1328,1,Doctor,74,H907,1,1,H907,1,1,H907,1,1,H907,1,1,H907,1,1,H907,1,1,0,0,0,0,0,0
W1061,1,Doctor,75,H1003,2,2,H1003,2,2,H1003,2,2,H1003,2,2,H1003,2,2,H1003,2,2,0,0,0,0,0,0
W733,1,Doctor,76,H871,2,2,H871,2,2,H871,2,2,H871,2,2,H871,2,2,H871,2,2,0,0,0,0,0,0
W1147,1,Doctor,77,H1475,1,1,H1475,1,1,H1475,1,1,H1475,1,1,H1475,1,1,H1475,1,1,0,0,0,0,0,0
W1189,1,Doctor,78,H715,1,1,H715,1,1,H715,1,1,H715,1,1,H715,1,1,H715,1,1,0,0,0,0,0,0
W908,1,Doctor,79,H787,2,2,H787,2,2,H787,2,2,H787,2,2,H787,2,2,H787,2,2,0,0,0,0,0,0
W458,1,Doctor,80,H1559,2,2,H1559,2,2,H1559,2,2,H1559,2,2,H1559,2,2,H1559,2,2,0,0,0,0,0,0
W615,1,Doctor,81,H885,1,1,H885,1,1,H885,1,1,H885,1,1,H885,1,1,H885,1,1,0,0,0,0,0,0
W1185,1,Doctor,82,H987,1,1,H987,1,1,H987,1,1,H987,1,1,H987,1,1,H987,1,1,0,0,0,0,0,0
W1664,1,Doctor,83,H1668,1,1,H1668,1,1,H1668,1,1,H1668,1,1,H1668,1,1,H1668,1,1,0,0,0,0,0,0
W1616,1,Doctor,84,H5,1,1,H5,1,1,H5,1,1,H5,1,1,H5,1,1,H5,1,1,0,0,0,0,0,0
