id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W851,1,Doctor,1,H142,1,1,H142,1,1,H142,1,1,H142,1,1,H142,1,1,H142,1,1,0,0,0,0,0,0
W500,1,Doctor,2,H520,3,2,H520,3,2,H520,3,2,H520,3,2,H520,3,2,H520,3,2,0,0,0,0,0,0
W1414,1,Doctor,3,H1056,14,4,H1056,14,4,H126,3,-1,H126,3,-1,H1056,14,4,H1056,14,4,0,0,0,0,0,0
W571,1,Doctor,4,H612,3,2,H612,3,2,H1700,1,1,H1700,1,1,H612,3,2,H612,3,2,0,0,0,0,0,0
W1111,1,Doctor,5,H1233,2,1,H1233,2,1,H1183,1,-1,H1183,1,-1,H1233,2,1,H1233,2,1,0,0,0,0,0,0
W469,1,Doctor,6,H204,8,2,H204,8,2,H223,4,1,H223,4,1,H204,8,2,H204,8,2,0,0,0,0,0,0
W313,1,Doctor,7,H548,2,1,H548,2,1,H548,2,1,H548,2,1,H548,2,1,H548,2,1,0,0,0,0,0,0
W211,1,Doctor,8,H702,4,2,H702,4,2,H1310,1,-1,H1310,1,-1,H702,4,2,H702,4,2,0,0,0,0,0,0
W755,1,Doctor,9,H1693,4,2,H1693,4,2,H1693,4,2,H1693,4,2,H1693,4,2,H1693,4,2,0,0,0,0,0,0
W360,1,Doctor,10,H432,3,1,H432,3,1,H432,3,1,H432,3,1,H432,3,1,H432,3,1,0,0,0,0,0,0
W487,1,Doctor,11,H502,5,3,H502,5,3,H105,1,1,H105,1,1,H502,5,3,H502,5,3,0,0,0,0,0,0
W161,1,Doctor,12,H341,2,1,H341,2,1,H341,2,1,H341,2,1,H341,2,1,H341,2,1,0,0,0,0,0,0
W36,1,Doctor,13,H266,9,2,H266,9,2,H1627,1,-1,H1627,1,-1,H266,9,2,H266,9,2,0,0,0,0,0,0
W91,1,Doctor,14,H1296,3,2,H1296,3,2,H1296,3,2,H1296,3,2,H1296,3,2,H1296,3,2,0,0,0,0,0,0
W749,1,Doctor,15,H514,4,2,H514,4,2,H514,4,2,H514,4,2,H514,4,2,H514,4,2,0,0,0,0,0,0
W1084,1,Doctor,16,H903,15,7,H903,15,7,H163,1,1,H163,1,1,H903,15,7,H903,15,7,0,0,0,0,0,0
W1223,1,Doctor,17,H1195,3,1,H1195,3,1,H1195,3,1,H1195,3,1,H1195,3,1,H1195,3,1,0,0,0,0,0,0
W941,1,Doctor,18,H973,2,2,H973,2,2,H1087,1,1,H1087,1,1,H973,2,2,H973,2,2,0,0,0,0,0,0
W1654,1,Doctor,19,H333,4,1,H333,4,1,H460,2,-1,H460,2,-1,H333,4,1,H333,4,1,0,0,0,0,0,0
W700,1,Doctor,20,H304,8,4,H304,8,4,H400,1,1,H400,1,1,H304,8,4,H304,8,4,0,0,0,0,0,0
W1482,1,Doctor,21,H1423,6,1,H1423,6,1,H1423,6,1,H1423,6,1,H1423,6,1,H1423,6,1,0,0,0,0,0,0
W1148,1,Doctor,22,H1286,1,1,H1286,1,1,H1286,1,1,H1286,1,1,H1286,1,1,H1286,1,1,0,0,0,0,0,0
