Run,Max Interviews,Num Doctors,Num Hospitals,Common utility weight Doctors,Common utility weight Hospitals
1,5,500,500,0.75,0.25
2,5,500,500,0.75,0.25
3,5,500,500,0.75,0.25
4,5,500,500,0.75,0.25
5,5,500,500,0.75,0.25
6,5,500,500,0.75,0.25
7,5,500,500,0.75,0.25
8,5,500,500,0.75,0.25
9,5,500,500,0.75,0.25
10,5,500,500,0.75,0.25
11,5,500,500,0.75,0.25
12,5,500,500,0.75,0.25
13,5,500,500,0.75,0.25
14,5,500,500,0.75,0.25
15,5,500,500,0.75,0.25
16,5,500,500,0.75,0.25
17,5,500,500,0.75,0.25
18,5,500,500,0.75,0.25
19,5,500,500,0.75,0.25
20,5,500,500,0.75,0.25
21,5,500,500,0.75,0.25
22,5,500,500,0.75,0.25
23,5,500,500,0.75,0.25
24,5,500,500,0.75,0.25
25,5,500,500,0.75,0.25
26,5,500,500,0.75,0.25
27,5,500,500,0.75,0.25
28,5,500,500,0.75,0.25
29,5,500,500,0.75,0.25
30,5,500,500,0.75,0.25
31,5,500,500,0.75,0.25
32,5,500,500,0.75,0.25
33,5,500,500,0.75,0.25
34,5,500,500,0.75,0.25
