id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W414,1,Doctor,1,2,2,88,-1
W487,1,Doctor,2,1,1,48,-1
W35,1,Doctor,3,1,1,34,-1
W258,1,Doctor,4,3,3,139,-1
W168,1,Doctor,5,5,5,210,-1
W208,1,Doctor,6,3,3,256,-1
W422,1,Doctor,7,4,4,142,-1
W463,1,Doctor,8,2,2,132,-1
W218,1,Doctor,9,1,1,19,-1
W431,1,Doctor,10,4,3,194,-1
W470,1,Doctor,11,5,5,28,-1
W139,1,Doctor,12,4,4,56,-1
W157,1,Doctor,13,1,1,341,-1
W132,1,Doctor,14,1,1,4,3
W451,1,Doctor,15,3,2,116,-1
W373,1,Doctor,16,4,4,125,-1
W190,1,Doctor,17,3,3,72,-1
W375,1,Doctor,18,2,1,41,-1
W108,1,Doctor,19,1,1,55,-1
W356,1,Doctor,20,7,5,231,-1
W480,1,Doctor,21,6,3,64,-1
W187,1,Doctor,22,5,3,165,-1
W316,1,Doctor,23,0,0,97,-1
W384,1,Doctor,24,0,0,44,-1
W494,1,Doctor,25,4,4,215,-1
W68,1,Doctor,26,4,3,60,-1
W3,1,Doctor,27,1,1,283,-1
W304,1,Doctor,28,9,5,15,-1
W222,1,Doctor,29,4,3,211,-1
W2,1,Doctor,30,2,2,64,-1
W433,1,Doctor,31,1,1,176,-1
W335,1,Doctor,32,6,3,106,-1
W245,1,Doctor,33,7,4,7,4
W58,1,Doctor,34,3,2,74,-1
W471,1,Doctor,35,1,1,146,-1
W268,1,Doctor,36,7,3,28,-1
W491,1,Doctor,37,9,4,62,-1
W105,1,Doctor,38,6,4,87,-1
W37,1,Doctor,39,1,1,44,-1
W466,1,Doctor,40,4,1,244,-1
W469,1,Doctor,41,2,1,107,-1
W362,1,Doctor,42,1,1,7,5
W211,1,Doctor,43,6,2,35,-1
W253,1,Doctor,44,2,1,17,-1
W94,1,Doctor,45,2,1,122,-1
W488,1,Doctor,46,2,2,12,-1
W282,1,Doctor,47,4,2,54,-1
W493,1,Doctor,48,4,3,148,-1
W360,1,Doctor,49,3,2,58,-1
W52,1,Doctor,50,3,1,70,-1
W309,1,Doctor,51,5,1,28,-1
W445,1,Doctor,52,5,4,183,-1
W343,1,Doctor,53,4,2,43,-1
W318,1,Doctor,54,8,3,48,-1
W382,1,Doctor,55,0,0,153,-1
W475,1,Doctor,56,7,3,156,-1
W46,1,Doctor,57,2,1,26,-1
W79,1,Doctor,58,6,3,126,-1
W231,1,Doctor,59,0,0,100,-1
W443,1,Doctor,60,3,1,56,-1
W191,1,Doctor,61,9,3,134,-1
W195,1,Doctor,62,2,1,22,-1
W247,1,Doctor,63,6,4,105,-1
W45,1,Doctor,64,5,1,36,-1
W369,1,Doctor,65,8,3,90,-1
W284,1,Doctor,66,1,1,7,3
W84,1,Doctor,67,10,3,100,-1
W170,1,Doctor,68,2,1,89,-1
W178,1,Doctor,69,4,1,207,-1
W120,1,Doctor,70,2,1,139,-1
W402,1,Doctor,71,1,1,47,-1
W320,1,Doctor,72,9,3,120,-1
W83,1,Doctor,73,7,3,46,-1
W348,1,Doctor,74,11,3,48,-1
W244,1,Doctor,75,7,2,151,-1
W51,1,Doctor,76,10,1,113,-1
W91,1,Doctor,77,2,1,232,-1
W419,1,Doctor,78,20,5,109,-1
W240,1,Doctor,79,10,3,124,-1
W88,1,Doctor,80,6,3,127,-1
W22,1,Doctor,81,17,5,73,-1
W357,1,Doctor,82,14,3,130,-1
W142,1,Doctor,83,9,2,58,-1
W174,1,Doctor,84,10,2,155,-1
W73,1,Doctor,85,4,1,119,-1
W15,1,Doctor,86,14,3,20,-1
W171,1,Doctor,87,6,2,99,-1
W134,1,Doctor,88,12,3,24,-1
W186,1,Doctor,89,6,1,57,-1
W353,1,Doctor,90,12,4,129,-1
W176,1,Doctor,91,11,4,108,-1
W141,1,Doctor,92,6,2,137,-1
W331,1,Doctor,93,14,3,209,-1
W242,1,Doctor,94,16,3,127,-1
W424,1,Doctor,95,11,4,170,-1
W426,1,Doctor,96,2,1,153,-1
W53,1,Doctor,97,12,2,193,-1
W102,1,Doctor,98,7,1,48,-1
W395,1,Doctor,99,12,1,130,-1
W155,1,Doctor,100,13,3,75,-1
W390,1,Doctor,101,0,0,21,-1
W340,1,Doctor,102,8,2,116,-1
W472,1,Doctor,103,8,1,8,1
W153,1,Doctor,104,4,1,82,-1
W277,1,Doctor,105,9,1,67,-1
W476,1,Doctor,106,10,3,148,-1
W492,1,Doctor,107,18,4,39,-1
W248,1,Doctor,108,11,3,86,-1
W54,1,Doctor,109,12,2,45,-1
W495,1,Doctor,110,9,1,39,-1
W355,1,Doctor,111,11,2,90,-1
W109,1,Doctor,112,6,3,69,-1
W341,1,Doctor,113,14,1,187,-1
W496,1,Doctor,114,17,3,10,-1
W447,1,Doctor,115,13,2,41,-1
W206,1,Doctor,116,10,1,161,-1
W368,1,Doctor,117,10,1,206,-1
W65,1,Doctor,118,8,3,163,-1
W216,1,Doctor,119,11,2,11,2
W255,1,Doctor,120,6,1,225,-1
W329,1,Doctor,121,4,1,103,-1
W131,1,Doctor,122,13,4,42,-1
W181,1,Doctor,123,4,2,329,-1
W225,1,Doctor,124,2,1,265,-1
